name
100% Dark Hot Chocolate Flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops
2.5kg Bulk 61% Dark Hot Chocolate Drops
41% Milk Hot Chocolate Drops
61% Dark Hot Chocolate Drops
70% Dark Hot Chocolate Flakes
Almost Perfect
April Box of the Month
Assorted Chocolate Malt Balls
Blonde Caramel
Blonde Chocolate Honeycomb
Blonde Chocolate Honeycomb - Bag
Blonde Chocolate Malt Balls
Blonde Chocolate Truffles
Blonde Hot Chocolate Flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams
Bulk 61% Dark Hot Chocolate Drops 750 grams
Caramelised Milk
Caramelised Milk Chocolate Tarte Tatin Chocolate Easter Egg
Chocolate Caramelised Pecan Nuts
Chocolate Celebration Hamper
Cinnamon Toast
Coconut Easter Egg
Collection of 4 of our Best Selling Chocolate Malt Balls
